node,entrez,gene_name,initial,ppion
274.0,100526783,ARPIN-AP3S2,TRUE,TRUE
275.0,26050,SLITRK5,TRUE,TRUE
276.0,65264,UBE2Z,TRUE,TRUE
277.0,5291,PIK3CB,TRUE,TRUE
278.0,23545,ATP6V0A2,TRUE,TRUE
279.0,440107,PLEKHG7,TRUE,TRUE
280.0,23256,SCFD1,TRUE,TRUE
281.0,3728,JUP,TRUE,TRUE
282.0,51175,TUBE1,TRUE,TRUE
283.0,55198,APPL2,TRUE,TRUE
284.0,63892,THADA,TRUE,TRUE
285.0,25956,SEC31B,TRUE,TRUE
286.0,55698,RADIL,TRUE,TRUE
287.0,8540,AGPS,TRUE,TRUE
288.0,7048,TGFBR2,TRUE,TRUE
289.0,2197,FAU,TRUE,TRUE
290.0,51143,DYNC1LI1,TRUE,TRUE
291.0,355,FAS,TRUE,TRUE
292.0,990,CDC6,TRUE,TRUE
293.0,506,ATP5F1B,TRUE,TRUE
294.0,284656,EPHA10,TRUE,TRUE
295.0,22920,KIFAP3,TRUE,TRUE
296.0,153090,DAB2IP,TRUE,TRUE
297.0,269,AMHR2,TRUE,TRUE
298.0,5290,PIK3CA,TRUE,TRUE
299.0,5532,PPP3CB,TRUE,TRUE
300.0,7791,ZYX,TRUE,TRUE
301.0,9717,SEC14L5,TRUE,TRUE
302.0,2046,EPHA8,TRUE,TRUE
303.0,7332,UBE2L3,TRUE,TRUE
304.0,7297,TYK2,TRUE,TRUE
305.0,1314,COPA,TRUE,TRUE
306.0,26130,GAPVD1,TRUE,TRUE
307.0,9527,GOSR1,TRUE,TRUE
308.0,2779,GNAT1,TRUE,TRUE
309.0,109,ADCY3,TRUE,TRUE
310.0,55075,UACA,TRUE,TRUE
311.0,57169,ZNFX1,TRUE,TRUE
312.0,23191,CYFIP1,TRUE,TRUE
313.0,4233,MET,TRUE,TRUE
314.0,51130,ASB3,TRUE,TRUE
315.0,79774,GRTP1,TRUE,TRUE
316.0,8445,DYRK2,TRUE,TRUE
317.0,162494,RHBDL3,TRUE,TRUE
318.0,72,ACTG2,TRUE,TRUE
319.0,84552,PARD6G,TRUE,TRUE
320.0,84669,USP32,TRUE,TRUE
321.0,283629,TSSK4,TRUE,TRUE
322.0,5573,PRKAR1A,TRUE,TRUE
323.0,2242,FES,TRUE,TRUE
